State,AverageIncome
AK,793628.234567901
AL,1963132.47084233
AR,4485103.31230284
AZ,185853897.766147
CA,57434860.3089888
CO,12849649.8366718
CT,109737764.446691
DC,173092169.110526
DE,84696166.2272727
FL,10260189.9634465
GA,21781767.6437126
HI,2734957.48295455
IA,7264959.94402421
ID,2513684.8364486
IL,26003559.1374046
IN,12302476.940146
KS,828607.459962756
KY,7687051.02360515
LA,14904540.4227848
MA,1567691180.39591
MD,52862455.3139159
ME,5128498.71785029
MI,2145278.17131858
MN,5932527.96182085
MO,16598264.9487871
MS,1795532.63157895
MT,688146.007407407
NC,14334726.5365854
ND,119364.553903346
NE,4183700.4610951
NH,31947472.8209366
NJ,38092192.0992064
NM,530946.7375
NV,513703.75862069
NY,39391054.665029
OH,4739558.84666178
OK,1463509.62888483
OR,3452830.87090909
PA,79070574.6672716
RI,46066678.4198895
SC,6446231.50639386
SD,2717373.53418803
TN,44240342.9123435
TX,9651557.45546129
UT,1306525.17058824
VA,10492410.1784969
VT,3571635.72260274
WA,4896460.81553398
WI,3364616.68207441
WV,1298692.3372093
WY,346596.46875
